First_name,Last_name,Email,Date,Company,Country,Fax,Title,Currency,Persent value,Number value,Picklist_multi_select,Industry
Stefano,Fettes,asfettes0@apple.com,9/5/2021,Voonder,Ukraine,+380 (275) 329-6555,0057Q000004LU4QQAW,45,1.01,5186,100000,Banking
Kandy,Brooking,akbrooking1@jiathis.com,25/11/2021,Wordtune,Ukraine,+380 (744) 620-8479,0057Q000004LU4QQAW,15,1.56,35766,100000,Banking
Jolie,Patterfield,ajpatterfield2@skyrock.com,22/3/2021,Mita,Ukraine,+380 (340) 415-7407,0057Q000004LU4QQAW,69,1.7,8174,100000,Banking
Petronella,Caughtry,apcaughtry3@free.fr,23/3/2021,Browsedrive,United States,+1 (913) 293-7157,0057Q000004LU4QQAW,43,1.71,9316,100000,Banking
Benji,Maden,abmaden4@aol.com,5/1/2022,Zooxo,United States,+1 (901) 752-6588,0057Q000004LU4QQAW,95,1.69,45027,100000,Banking
Derby,Glandon,adglandon5@nps.gov,18/2/2021,Youbridge,United States,+1 (775) 460-6099,0057Q000004LU4QQAW,24,1.31,38408,100000,Banking
Shelley,Maciocia,asmaciocia6@alexa.com,19/7/2021,Feedbug,United States,+1 (309) 485-4420,0057Q000004LU4QQAW,55,1.77,6420,100000,Banking
Nadiya,Dyster,andyster7@de.vu,11/7/2021,Kaymbo,United States,+1 (205) 619-9422,0057Q000004LU4QQAW,40,1.65,29149,100000,Banking
Joannes,Rapsey,ajrapsey8@hugedomains.com,1/6/2021,Thoughtstorm,United States,+1 (804) 729-5326,0057Q000004LU4QQAW,18,1.74,22682,100000,Banking
Alfy,Asman,aaasman9@livejournal.com,4/12/2021,Skimia,United States,+1 (605) 305-4302,0057Q000004LU4QQAW,6,1.17,22123,100000,Banking
Rolando,Dunster,ardunstera@tinyurl.com,28/1/2021,Jabbersphere,United States,+1 (310) 693-5940,0057Q000004LU4QQAW,52,1.88,17030,100000,Banking
Allis,Biggs,aabiggsb@yahoo.com,23/8/2021,Gevee,United States,+1 (205) 981-0382,0057Q000004LU4QQAW,1,1.58,68457,100000,Banking
Tabor,Brownjohn,atbrownjohnc@4shared.com,28/2/2021,Riffpedia,United States,+1 (480) 754-8518,0057Q000004LU4QQAW,93,1.61,25676,100000,Banking
Kylie,Schubuser,akschubuserd@nih.gov,21/10/2021,Youspan,Ukraine,+380 (641) 514-9273,0057Q000004LU4QQAW,54,1.89,13383,100000,Banking
Cherry,Dailly,acdaillye@yahoo.com,26/8/2021,Eabox,United States,+1 (740) 460-4661,0057Q000004LU4QQAW,99,1.28,40757,100000,Banking
Danika,Eadington,adeadingtonf@sphinn.com,25/8/2021,Demivee,Ukraine,+380 (337) 230-9903,0057Q000004LU4QQAW,51,1.69,55311,100000,Banking
Augustin,Joint,aajointg@ameblo.jp,7/7/2021,Yakitri,Ukraine,+380 (721) 843-4758,0057Q000004LU4QQAW,7,1.23,11545,100000,Banking
Meredith,Kohn,amkohnh@wikimedia.org,8/2/2021,Jatri,United States,+1 (619) 353-5876,0057Q000004LU4QQAW,8,1.58,39499,100000,Banking
Renault,Copelli,arcopellii@illinois.edu,6/3/2021,Pixope,United States,+1 (904) 850-9128,0057Q000004LU4QQAW,57,1.53,45504,100000,Banking
Amata,Redgrave,aaredgravej@xing.com,15/1/2022,Photofeed,United States,+1 (406) 742-2723,0057Q000004LU4QQAW,51,1.04,52805,100000,Banking
